domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
dco.uscg.mil,199343,475516,95518,2.385416092,259.5467661,189999
cameochemicals.noaa.gov,198305,472401,153660,2.382194095,86.2197524,198305
hrsa.gov,198305,308359,155737,1.5549734,43.57584529,186884
nal.usda.gov,197266,359233,169234,1.821058875,110.7002372,186884
store.usgs.gov,197266,729886,171310,3.700009125,183.5635538,209725
atsdr.cdc.gov,195190,272020,156775,1.393616476,73.45210308,198305
webapps.dol.gov,194152,1569825,210764,8.085546376,192.2403375,196228
cftc.gov,193113,547155,123551,2.833341101,232.5596827,192075
dcma.mil,193113,331200,56065,1.715058023,323.8287117,186884
arts.gov,188960,472401,127704,2.500005292,221.0554985,188960
healthit.gov,188960,402839,142239,2.131874471,187.6488199,186884
iris.custhelp.com,188960,438139,151584,2.318686494,188.0114575,189999
data.cms.gov,187922,350927,112130,1.867407754,125.8786039,195190
nfc.usda.gov,186884,338468,93442,1.811112776,162.2055393,164043
niehs.nih.gov,186884,384150,150545,2.055553177,102.4222138,179616
usitc.gov,186884,329123,116283,1.761108495,212.6610946,185846
yali.state.gov,186884,337429,110054,1.805553177,170.0055382,186884
militarypay.defense.gov,182731,393495,151584,2.153411299,106.3806853,182731
niaid.nih.gov,181693,371691,157813,2.045708971,132.599825,182731
search.usembassy.gov,179616,218031,101748,1.213872929,40.61855848,157813
oceanexplorer.noaa.gov,175463,321856,163004,1.834324046,136.3079225,170272
msha.gov,173387,458904,67486,2.646703617,126.7124352,183769
secsearch.sec.gov,173387,758957,148469,4.377242815,399.0714125,92404
do.usembassy.gov,172349,406992,116283,2.36144103,204.5295998,171310
evisaforms.state.gov,171310,326009,148469,1.903035433,224.7579943,189999
emergency.cdc.gov,170272,319779,157813,1.878048064,71.01832362,179616
fees.uspto.gov,170272,819175,84098,4.810978904,405.8721281,270982
afpc.af.mil,169234,462019,133934,2.730060153,112.3495811,172349
eitc.irs.gov,169234,278249,148469,1.644167248,82.50911755,143278
osac.gov,169234,312512,141201,1.846626564,88.8403985,169234
ngdc.noaa.gov,168196,700815,112130,4.166656758,148.2280316,158851
plancompare.medicare.gov,166119,2111789,255408,12.7125073,516.8127969,584532
thisfreelife.betobaccofree.hhs.gov,164043,191037,97595,1.164554416,58.21505337,164043
co.usembassy.gov,163004,479669,127704,2.942682388,176.2679075,163004
csrc.nist.gov,163004,472401,144316,2.898094525,106.038453,179616
data.gov,163004,356118,119398,2.184719393,46.64341366,163004
nlrb.gov,161966,596991,100710,3.685903214,281.9617451,158851
neh.gov,160928,343659,126666,2.135482949,133.2386036,159890
disa.mil,159890,387265,118360,2.422071424,142.2853837,157813
seer.cancer.gov,159890,585570,120436,3.662330352,288.7071236,172349
meshb.nlm.nih.gov,158851,227376,64371,1.431379091,215.0332009,158851
nidcr.nih.gov,156775,296938,138086,1.894039228,46.19202041,158851
nodc.noaa.gov,156775,326009,116283,2.079470579,68.39068091,157813
auth.cdc.gov,155737,494204,50874,3.173324258,292.9126797,154698
training.seer.cancer.gov,155737,701853,124589,4.506655451,398.0457759,155737
physics.nist.gov,153660,574149,113169,3.736489652,301.4057269,168196
blogs.nasa.gov,152622,221146,145354,1.448978522,73.71424827,140163
egrants.cns.gov,152622,1044474,15574,6.843535008,586.101735,152622
mentalhealth.gov,152622,261638,122513,1.714287586,108.2176292,152622
navsea.navy.mil,152622,427757,114207,2.802721757,156.3128448,157813
findit.ed.gov,151584,426718,89289,2.815059637,107.1641532,181693
j1visa.state.gov,151584,567920,129781,3.746569559,185.7256307,161966
pk.usembassy.gov,150545,402839,69562,2.675871002,146.8555914,151584
search.af.mil,150545,291747,114207,1.937938822,106.7175462,134972
usability.gov,150545,252293,101748,1.675864359,57.03464745,150545
hiv.va.gov,149507,228414,134972,1.527781308,64.56258235,149507
history.nasa.gov,148469,364424,134972,2.454546067,159.7342004,151584
pmm.nasa.gov,148469,393495,104863,2.650351252,192.5523712,152622
wwwn.cdc.gov,148469,632291,102786,4.258740882,267.7901043,148469
csr.medicare.gov,147431,743383,10382,5.04224349,320.9782135,63333
fastlane.nsf.gov,146392,1747365,60218,11.93620553,453.7815454,143278
harp.gov,146392,297976,129781,2.035466419,86.85133067,145354
waterwatch.usgs.gov,146392,304206,43606,2.078023389,272.4263758,142239
fhfa.gov,145354,424642,99671,2.921433191,205.9788654,145354
niams.nih.gov,145354,181693,139125,1.25000344,31.85719003,147431
access-board.gov,144316,296938,93442,2.057554256,116.4244297,144316
dcms.uscg.mil,144316,350927,88251,2.43165692,187.7697414,145354
ru.usembassy.gov,144316,346774,91366,2.402879792,138.2229898,144316
imagine.gsfc.nasa.gov,143278,275135,127704,1.920287832,121.825849,151584
pbgc.gov,142239,910540,113169,6.401479201,293.497332,142239
airforcemedicine.af.mil,140163,468248,103824,3.340738997,167.1333162,134972
ope.ed.gov,140163,756880,119398,5.399998573,146.5629517,158851
voyager.jpl.nasa.gov,140163,287594,123551,2.051853913,133.2296184,129781
es-tools.usps.com,137048,245026,96557,1.787884537,55.11374117,132895
projectreporter.nih.gov,137048,1470154,80983,10.72729263,333.4551617,142239
bhw.hrsa.gov,136010,373768,92404,2.748092052,116.7480994,139125
19january2017snapshot.epa.gov,133934,270982,140163,2.023250258,65.47263578,138086
es.usps.com,133934,187922,100710,1.403094061,85.17799065,128742
secretservice.gov,133934,256446,109016,1.91471919,108.1624009,133934
